Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1991,45.483
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1991,2.64110316371064
Nigeria,NGA,"Population, total",SP.POP.TOTL,1991,99720162.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1992,36.0994606018066
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1992,0.8704072381747606
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,1992,28.766296650087288
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1992,4.631192946109877
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1992,508.5159056827852
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1992,45.587
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1992,2.62528760714312
Nigeria,NGA,"Population, total",SP.POP.TOTL,1992,102372770.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1993,36.9636459350586
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1993,0.8242959905973694
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,1993,28.5869923251754
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1993,-2.035118773995393
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1993,539.5732022975423
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1993,45.783
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1993,2.65014775362862
Nigeria,NGA,"Population, total",SP.POP.TOTL,1993,105122069.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1994,37.8264694213867
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1994,0.7494989100641888
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,1994,28.40768800026352
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1994,-1.8149244851792328
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,744.8842471513773
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1994,45.748
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1994,2.64135723468862
Nigeria,NGA,"Population, total",SP.POP.TOTL,1994,107935714.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1995,38.6872520446777
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1995,0.801782698246737
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,1995,28.228383675351623
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1995,-0.0726647640626794
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,1271.616173531988
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1995,45.87
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1995,2.63662927453146
Nigeria,NGA,"Population, total",SP.POP.TOTL,1995,110819428.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1996,39.5453186035156
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1996,0.911020186677168
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,1996,28.049079350439737
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1996,4.195924046667088
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,1632.7246937027587
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1996,45.833
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1996,2.61429682326517
Nigeria,NGA,"Population, total",SP.POP.TOTL,1996,113754779.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1997,40.3999824523926
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1997,0.863537147151956
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,1997,27.869775025527847
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1997,2.9370994192310604
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,1720.275409493957
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1997,45.96
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1997,2.60308705392213
Nigeria,NGA,"Population, total",SP.POP.TOTL,1997,116754792.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1998,41.2505683898926
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1998,0.7622415966376388
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,1998,27.69047070061596
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1998,2.581254101908087
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,1822.4699845247333
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1998,46.148
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1998,2.61337639810203
Nigeria,NGA,"Population, total",SP.POP.TOTL,1998,119846254.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1999,44.9
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1999,0.7313227138957598
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,1999,27.51116637570408
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1999,0.584126892882125
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,480.6693639418046
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,1999,46.609
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,1999,2.63592921799734
Nigeria,NGA,"Population, total",SP.POP.TOTL,1999,123047320.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,43.2
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2000,0.7927909699265787
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,2000,27.33186205079219
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,5.015934759365464
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,547.3182989033786
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,47.143
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,2000,2.67439784501828
Nigeria,NGA,"Population, total",SP.POP.TOTL,2000,126382494.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2001,43.9
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2001,0.8188970811803045
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,2001,27.15255662790825
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,5.917684649244251
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,566.4282318129331
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2001,47.549
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,2001,2.7163954653619
Nigeria,NGA,"Population, total",SP.POP.TOTL,2001,129862595.0
Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2002,44.6
Nigeria,NGA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2002,0.7208950785921082
Nigeria,NGA,Forest area (% of land area),AG.LND.FRST.ZS,2002,26.97325120502432
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2002,15.329155740961768
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,712.1648520776855
